STREAK CAMERA SETTINGS,  Created on Tue Jul 20 15:16:26 2010
 
            Camera    Asbo1-1007-9ns   Asbo2-1007-15ns      SOP-1007-7ns    Asbo1-0909-9ns   Asbo1-0909-27ns   Asbo2-0909-15ns    Asbo1-0904-9ns   Asbo2-0904-15ns   Asbo2-0809-15ns   Asbo1-0802-27ns   Asbo1-0801-80ns   Asbo2-0801-50ns     SOP-0801-40ns    Asbo2-0711-5ns   Asbo2-0711-15ns    Asbo2-0709-6ns      SOP-0708-9ns     SOP-0708-16ns      SOP-0706-7ns   Asbo1-0708-10ns   Asbo2-0708-15ns      SOP-0702-7ns     sscA-0706-4ns    Asbo1-0702-8ns   Asbo2-0702-10ns     Asbo1-1002-3x     Asbo2-1002-3x     Asbo1-0207-3x    Asbo2-0207-10x    Asbo1-0302-30x    Asbo2-0302-30x
         Rot (rad)       -0.00600000        -0.0190000        -0.0100000       -0.00600000       -0.00600000        -0.0190000       -0.00500000        -0.0170000        -0.0170000       -0.00500000       -0.00600000        -0.0170000          0.000000        -0.0170000        -0.0170000         0.0120000        -0.0100000        -0.0100000         0.0400000       -0.00500000         0.0110000         0.0400000          0.000000         0.0100000         0.0120000        0.00580000       -0.00400000        0.00580000       -0.00270000        0.00865000       -0.00467000
             Shear        -0.0100000        -0.0170000         0.0200000        -0.0100000       -0.00800000        -0.0170000        -0.0100000        -0.0170000        -0.0170000       -0.00800000          0.000000          0.000000          0.000000        -0.0260000        -0.0170000         0.0120000         0.0200000         0.0300000         0.0400000        -0.0100000         0.0100000        -0.0600000          0.000000         0.0140000         0.0200000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
     Mag (mic/pix)           1.00000           1.00000           1.15500           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.00000           1.15500           1.15500           1.15500           1.00000           1.00000           1.15500          0.885000           1.00500          0.949000          0.550000          0.734000          0.550000          0.734000          0.550000          0.734000
            MinPix           151.000           193.000           122.000           141.000           133.000           160.000           133.000           165.000           202.000           150.000           144.000           165.000           133.400           178.000           209.000           177.000           101.000           79.0000           37.0000           100.000           158.000           37.0000           126.000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
            MaxPix           991.000           991.000           527.000           1004.00           976.000           978.000           978.000           992.000           952.000           965.000           963.000           939.000           218.000           881.000           474.000           825.000           475.000           276.000           465.000           987.000           902.000           465.000           1918.00           2048.00           2048.00           2048.00           2048.00           2048.00           2048.00           2048.00           2048.00
                a1           23.8747          -179.485           21.7592           15.5521           45.9295          -129.887           20.8501          -127.421          -160.273           30.2065           83.5510           53.6928           58.8000           5.89114          -15.5736           2.03935           14.4579           29.1160           9.77768           9.60268           33.2934           9.77768          0.853015           8.04000           9.63000           2.75090           3.21440           2.71182           7.71009           31.8000           28.8000
                a2        -0.0784371           1.57508        -0.0649103      -0.000600956         -0.209557           1.23479        -0.0763477           1.22510           1.48245       -0.00618116        -0.0127108        -0.0287369          0.000000      -0.000786393          0.154088         0.0343500       -0.00130515        -0.0117384        0.00146578         0.0158039         -0.138435        0.00146578        0.00181724          0.000000          0.000000       0.000193430      -0.000494900       0.000203700       0.000638100          0.000000          0.000000
                a3       0.000239931       -0.00667289       0.000271709      -0.000149807        0.00140492       -0.00548281       0.000305061       -0.00548931       -0.00659889      8.20476e-006      9.01327e-006      4.31347e-005          0.000000      6.55330e-007      -0.000328847      -0.000143825     -3.46581e-007      3.99732e-006     -3.24855e-006      -0.000100984       0.000631134     -3.24855e-006     -1.07315e-006          0.000000          0.000000          0.000000      3.01500e-007          0.000000          0.000000          0.000000          0.000000
                a4     -3.98842e-007      1.63621e-005     -6.02230e-007      7.45323e-007     -5.97735e-006      1.41584e-005     -6.99603e-007      1.42946e-005      1.71427e-005     -1.02594e-009      2.43319e-009     -1.87145e-008          0.000000          0.000000      2.50717e-007      3.37966e-007          0.000000          0.000000          0.000000      3.33828e-007     -1.81535e-006          0.000000      2.28673e-010          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
                a5      3.48262e-010     -2.38248e-008      6.51985e-010     -1.67460e-009      1.56735e-008     -2.20543e-008      9.45341e-010     -2.24364e-008     -2.69123e-008          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000     -4.58974e-010          0.000000          0.000000          0.000000     -6.29063e-010      3.28369e-009          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
                a6     -1.35514e-013      1.98156e-011     -2.61915e-013      1.97833e-012     -2.48865e-011      2.04154e-011     -7.48620e-013      2.09125e-011      2.51377e-011          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000      3.39169e-013          0.000000          0.000000          0.000000      6.74463e-013     -3.53508e-012          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
